Province,2011,2012,2013,2014
Canada,26242556,26553652,26652318,27124563
Males,12901778,13055736,13151262,13377590
Females,13340778,13497916,13501056,13746974
Newfoundland and Labrador,400473,399237,397175,415857
Males,196289,193108,189635,201785
Females,204184,206130,207540,214073
Prince Edward Island,113982,115324,114831,113728
Males,54848,55391,56199,54089
Females,59134,59933,58631,59639
Nova Scotia,730220,741768,715762,721685
Males,347335,354279,342247,352798
Females,382885,387489,373515,368887
New Brunswick,587681,584585,570689,573222
Males,283492,281206,276123,282237
Females,304189,303379,294566,290986
Quebec,6243350,6277566,6301961,6439858
Males,3054945,3101298,3119443,3156789
Females,3188405,3176268,3182519,3283069
Ontario,10111312,10342069,10260764,10389484
Males,4947300,5044202,5030685,5081758
Females,5164012,5297866,5230079,5307726
Manitoba,878478,896287,915618,918700
Males,436467,435834,463348,451814
Females,442011,460454,452270,466886
Saskatchewan,749734,761919,781927,816938
Males,374401,377611,395342,411734
Females,375333,384307,386585,405204
Alberta,2839212,2912033,2973238,3106941
Males,1428881,1478457,1496159,1586952
Females,1410331,1433577,1477079,1519989
British Columbia,3513261,3450155,3539222,3546612
Males,1738557,1696266,1740187,1755649
Females,1774704,1753888,1799035,1790963
Yukon,27723,27681,27980,28516
Males,14052,14366,14420,14206
Females,13671,13315,13559,14310
Northwest Territories,31762,30703,31329,30611
Males,17147,16112,16193,15701
Females,14615,14591,15136,14910
Nunavut,15367,14326,21822,22411
Males,8064,7607,11281,12078
Females,7303,6719,10541,10333
